번호,발생시각,년,월 ,일,규모,위도,경도,위치,위도(숫자)
847,2022-05-13,2022,5,13,2.3,33.34 N,127.22 E,제주 서귀포시 동쪽 62km 해역,33.34 
846,2022-04-30,2022,4,30,2.3,38.98 N,127.29 E,북한 강원 원산 남남서쪽 24km 지역,38.98 
845,2022-04-21,2022,4,21,2.3,38.85 N,125.78 E,북한 황해북도 송림 북동쪽 18km 지역,38.85 
844,2022-04-18,2022,4,18,2.3,37.26 N,126.10 E,인천 옹진군 서남서쪽 52km 지역,37.26 
843,2022-04-17,2022,4,17,2.3,35.22 N,128.60 E,경남 창원시 마산회원구 동쪽 2km 지역,35.22 
842,2022-04-16,2022,4,16,2.6,34.75 N,127.26 E,전남 고흥군 북쪽 16km 지역,34.75 
841,2022-04-12,2022,4,12,2.4,36.82 N,129.47 E,경북 울진군 남남동쪽 20km 해역,36.82 
840,2022-04-10,2022,4,10,3.4,36.45 N,129.62 E,경북 영덕군 동쪽 23km 해역,36.45 
839,2022-04-09,2022,4,9,2.2,36.54 N,128.08 E,경북 상주시 북북서쪽 16km 지역,36.54 
838,2022-04-03,2022,4,3,2,35.69 N,129.35 E,경북 경주시 남남동쪽 22km 지역,35.69 
837,2022-03-16,2022,3,16,2.3,33.70 N,125.06 E,전남 신안군 흑산도 남남서쪽 113km 해역,33.70 
836,2022-03-15,2022,3,15,2,39.42 N,126.19 E,북한 평안남도 성천 북쪽 20km 지역,39.42 
835,2022-03-06,2022,3,6,2.5,37.31 N,129.54 E,강원 삼척시 동남동쪽 37km 해역,37.31 
834,2022-03-05,2022,3,5,2.4,36.39 N,127.13 E,충남 공주시 남쪽 6km 지역,36.39 
833,2022-03-04,2022,3,4,2.1,41.24 N,129.22 E,북한 함경북도 길주 북북서쪽 33km 지역,41.24 
832,2022-02-28,2022,2,28,2.1,41.25 N,129.28 E,북한 함경북도 길주 북쪽 33km 지역,41.25 
831,2022-02-24,2022,2,24,2.2,34.00 N,127.59 E,전남 여수시 거문도 동쪽 25km 해역,34.00 
830,2022-02-15,2022,2,15,2.5,41.29 N,129.23 E,북한 함경북도 길주 북북서쪽 38km 지역,41.29 
829,2022-02-14,2022,2,14,2.3,41.28 N,129.26 E,북한 함경북도 길주 북쪽 37km 지역,41.28 
828,2022-02-14,2022,2,14,2.3,41.27 N,129.24 E,북한 함경북도 길주 북북서쪽 36km 지역,41.27 
827,2022-02-11,2022,2,11,3.1,41.30 N,129.21 E,북한 함경북도 길주 북북서쪽 40km 지역,41.30 
826,2022-02-10,2022,2,10,2.2,35.29 N,126.59 E,전남 영광군 동북동쪽 7km 지역,35.29 
825,2022-02-08,2022,2,8,2.9,35.07 N,125.06 E,전남 신안군 흑산도 북서쪽 55km 해역,35.07 
824,2022-02-04,2022,2,4,2.3,37.41 N,129.51 E,강원 삼척시 동쪽 31km 해역,37.41 
823,2022-02-02,2022,2,2,2.4,35.72 N,128.99 E,경북 청도군 동북동쪽 24km 지역,35.72 
822,2022-01-28,2022,1,28,2.3,34.37 N,127.30 E,전남 고흥군 남쪽 26km 해역,34.37 
821,2021-12-30,2021,12,30,2.2,41.30 N,129.17 E,북한 함경북도 길주 북북서쪽 41km 지역,41.30 
820,2021-12-30,2021,12,30,2.3,41.31 N,129.21 E,북한 함경북도 길주 북북서쪽 41km 지역,41.31 
819,2021-12-17,2021,12,17,3.2,33.12 N,126.18 E,제주 서귀포시 서남서쪽 38km 해역,33.12 
818,2021-12-15,2021,12,15,2.3,35.79 N,127.80 E,경남 거창군 북서쪽 15km 지역,35.79 
817,2021-12-15,2021,12,15,2.8,33.14 N,126.15 E,제주 서귀포시 서남서쪽 40km 해역,33.14 
816,2021-12-14,2021,12,14,4.9,33.09 N,126.16 E,제주 서귀포시 서남서쪽 41km 해역,33.09 
815,2021-12-09,2021,12,9,2.6,33.85 N,125.51 E,전남 신안군 흑산도 남쪽 91km 해역,33.85 
814,2021-12-04,2021,12,4,2.3,38.02 N,124.52 E,인천 옹진군 백령도 서북서쪽 16km 해역,38.02 
813,2021-11-22,2021,11,22,2.1,35.48 N,127.11 E,전북 순창군 북북서쪽 12km 지역,35.48 
812,2021-11-19,2021,11,19,2.2,33.85 N,124.77 E,전남 신안군 흑산도 남남서쪽 109km 해역,33.85 
811,2021-11-17,2021,11,17,2.9,35.66 N,129.75 E,울산 동구 동북동쪽 35km 해역,35.66 
810,2021-11-16,2021,11,16,2.1,34.50 N,125.90 E,전남 진도군 서쪽 33km 해역,34.50 
809,2021-11-16,2021,11,16,2.1,35.06 N,125.06 E,전남 신안군 흑산도 북서쪽 54km 해역,35.06 
808,2021-11-12,2021,11,12,2.1,36.15 N,129.38 E,경북 포항시 북구 북쪽 12km 지역,36.15 
807,2021-10-22,2021,10,22,2.4,36.90 N,128.22 E,충북 제천시 남쪽 26km 지역,36.90 
806,2021-10-19,2021,10,19,2.2,35.90 N,129.75 E,경북 포항시 남구 동남동쪽 37km 해역,35.90 
805,2021-10-19,2021,10,19,2.8,40.41 N,127.27 E,북한 함경남도 장진 북동쪽 4km 지역,40.41 
804,2021-10-19,2021,10,19,2.6,40.37 N,127.28 E,북한 함경남도 장진 동남동쪽 4km 지역,40.37 
803,2021-10-17,2021,10,17,2.4,41.26 N,129.45 E,북한 함경북도 길주 북북동쪽 36km 지역,41.26 
802,2021-10-11,2021,10,11,2.5,41.29 N,129.20 E,북한 함경북도 길주 북북서쪽 39km 지역,41.29 
801,2021-10-11,2021,10,11,2.4,41.30 N,129.18 E,북한 함경북도 길주 북북서쪽 40km 지역,41.30 
800,2021-10-10,2021,10,10,2.1,35.10 N,125.06 E,전남 신안군 흑산도 북서쪽 58km 해역,35.10 
799,2021-10-06,2021,10,6,2.5,35.25 N,127.86 E,경남 하동군 북북동쪽 23km 지역,35.25 
798,2021-09-23,2021,9,23,2.6,35.42 N,128.49 E,경남 창녕군 남쪽 14km 지역,35.42 
797,2021-09-20,2021,9,20,2.2,34.88 N,127.25 E,전남 보성군 북동쪽 20km 지역,34.88 
796,2021-09-17,2021,9,17,2.2,36.71 N,126.11 E,충남 태안군 서남서쪽 17km 해역,36.71 
795,2021-09-14,2021,9,14,2.2,35.41 N,128.78 E,경남 밀양시 남남동쪽 11km 지역,35.41 
794,2021-09-12,2021,9,12,2.1,35.53 N,128.53 E,경남 창녕군 동남동쪽 4km 지역,35.53 
793,2021-09-11,2021,9,11,2.1,41.29 N,129.15 E,북한 함경북도 길주 북북서쪽 40km 지역,41.29 
792,2021-09-01,2021,9,1,2.4,41.30 N,129.13 E,북한 함경북도 길주 북북서쪽 42km 지역,41.30 
791,2021-08-29,2021,8,29,2.6,36.98 N,125.02 E,충남 태안군 서격렬비도 북서쪽 62km 해역,36.98 
790,2021-08-29,2021,8,29,2.2,35.31 N,128.49 E,경남 함안군 동북동쪽 9km 지역,35.31 
789,2021-08-28,2021,8,28,2.2,35.00 N,127.73 E,전남 광양시 북북동쪽 7km 지역,35.00 
788,2021-08-26,2021,8,26,2.3,35.07 N,125.12 E,전남 신안군 흑산도 북북서쪽 52km 해역,35.07 
787,2021-08-21,2021,8,21,4,35.70 N,124.70 E,전북 군산시 어청도 서남서쪽 124km 해역,35.70 
786,2021-08-20,2021,8,20,2.1,38.37 N,127.99 E,북한 강원 회양 남동쪽 50km 지역,38.37 
785,2021-08-18,2021,8,18,2.1,35.10 N,129.84 E,부산 기장군 동남동쪽 58km 해역,35.10 
784,2021-08-15,2021,8,15,2,35.10 N,129.78 E,부산 기장군 동남동쪽 53km 해역,35.10 
783,2021-08-01,2021,8,1,2.2,35.65 N,129.53 E,울산 북구 동북동쪽 17km 해역,35.65 
782,2021-07-31,2021,7,31,2.5,35.65 N,128.40 E,대구 달성군 남남서쪽 14km 지역,35.65 
781,2021-07-26,2021,7,26,2.2,36.32 N,128.21 E,경북 상주시 남남동쪽 11km 지역,36.32 
780,2021-07-07,2021,7,7,2.3,36.77 N,128.46 E,경북 예천군 북쪽 14km 지역,36.77 
779,2021-06-14,2021,6,14,2.4,35.81 N,129.77 E,경북 포항시 남구 동남동쪽 43km 해역,35.81 
778,2021-06-13,2021,6,13,2.5,41.29 N,129.13 E,북한 함경북도 길주 북북서쪽 41km 지역,41.29 
777,2021-06-13,2021,6,13,2,36.97 N,130.34 E,경북 울릉군 울릉도 남서쪽 76km 해역,36.97 
776,2021-06-07,2021,6,7,2.1,33.68 N,128.07 E,전남 여수시 거문도 동남동쪽 80km 해역,33.68 
